Date,AAPL,MSFT,AMZN,GOOGL,GOOG,META,TSLA,NVDA,BRK-B,JPM,JNJ,V,PG,MA,UNH,DIS,HD,PYPL,BAC,INTC,CMCSA,XOM,NFLX,VZ,ADBE,T,CRM,PFE,ABT,CVX,CSCO,WMT,PEP,ABBV,MRK,NKE,KO,MCD,HON,ORCL,PM,LIN,IBM,AMGN,QCOM,MDT,TXN,LLY,NOC,ACN,LMT,SPGI,NEE,DHR,AXP,BKNG,UPS,SBUX,MMM,GE,ISRG,NOW,GS,RTX,AMD,BDX,GILD,MO,SCHW,DE,LOW,FIS,ZTS,TMO,ANTM,CAT,TFC,BLK,ICE,FDX,TJX,EMR,ADI,CME,MMC,COF,ADP,SPG,CHTR,SYK,BMY,VRTX,CSX,LRCX
2017-08-23,39.994998931884766,72.72000122070312,47.900001525878906,47.12900161743164,46.349998474121094,168.7100067138672,23.51799964904785,41.45000076293945,179.97999572753906,91.66999816894531,132.8000030517578,103.18000030517578,92.44000244140625,133.07000732421875,194.24000549316406,101.5,149.10000610351562,60.04999923706055,23.760000228881836,34.65999984741211,40.650001525878906,76.61000061035156,169.05999755859375,48.279998779296875,151.10000610351562,28.640483856201172,93.06999969482422,31.537002563476562,49.63999938964844,106.61000061035156,30.920000076293945,26.65333366394043,117.29000091552734,71.5199966430664,59.303436279296875,53.61000061035156,45.540000915527344,158.80999755859375,130.7420654296875,49.06999969482422,115.45999908447266,132.3800048828125,135.88909912109375,169.0,52.22999954223633,79.75,80.88999938964844,78.1500015258789,270.7699890136719,128.36000061035156,302.8399963378906,151.2899932861328,37.40999984741211,72.53546142578125,85.27999877929688,1813.02001953125,113.55000305175781,54.08000183105469,202.6699981689453,146.46009826660156,109.62999725341797,109.83999633789062,222.74000549316406,73.65009307861328,12.479999542236328,192.76097106933594,73.73999786376953,63.709999084472656,39.7599983215332,116.44999694824219,73.01000213623047,91.33999633789062,61.36000061035156,175.80999755859375,,114.75,46.150001525878906,418.07000732421875,65.0199966430664,207.07000732421875,35.79499816894531,58.43000030517578,79.06999969482422,125.94999694824219,77.16000366210938,81.29000091552734,103.45999908447266,157.57000732421875,390.3299865722656,138.36000061035156,57.869998931884766,153.25,16.290000915527344,161.6999969482422
2017-08-24,39.817501068115234,72.69000244140625,47.622501373291016,46.84450149536133,46.06399917602539,167.74000549316406,23.528667449951172,41.29750061035156,178.42999267578125,91.5199966430664,132.88999938964844,103.22000122070312,92.2699966430664,132.9600067138672,194.75,101.5199966430664,148.25,60.0,23.84000015258789,34.709999084472656,40.13999938964844,76.33000183105469,168.1300048828125,48.310001373291016,150.80999755859375,28.45921516418457,94.1500015258789,31.52751350402832,49.380001068115234,107.44000244140625,31.239999771118164,26.113332748413086,116.22000122070312,72.11000061035156,59.83778762817383,53.84000015258789,45.40999984741211,158.41000366210938,130.86666870117188,49.189998626708984,114.5199966430664,132.14999389648438,136.65391540527344,169.9499969482422,52.4900016784668,79.23999786376953,81.25,78.86000061035156,268.5400085449219,128.6699981689453,302.6000061035156,151.4499969482422,37.32749938964844,72.52659606933594,85.36000061035156,1815.510009765625,113.3499984741211,53.939998626708984,202.1199951171875,145.91964721679688,110.06444549560547,110.66999816894531,222.99000549316406,72.56135559082031,12.5,193.03414916992188,74.0199966430664,63.599998474121094,39.63999938964844,115.44000244140625,72.61000061035156,91.25,61.38999938964844,175.9600067138672,,114.77999877929688,46.150001525878906,415.94000244140625,64.69999694824219,206.6699981689453,35.44499969482422,58.02000045776367,79.2699966430664,125.91999816894531,76.87999725341797,81.43000030517578,104.58999633789062,156.66000366210938,389.2300109863281,138.77000427246094,58.16999816894531,156.0800018310547,16.126667022705078,158.82000732421875
2017-08-25,39.96500015258789,72.81999969482422,47.26300048828125,46.525001525878906,45.794498443603516,166.32000732421875,23.203332901000977,40.95249938964844,179.60000610351562,91.88999938964844,131.67999267578125,103.3499984741211,92.51000213623047,132.75,194.36000061035156,102.41000366210938,149.64999389648438,59.970001220703125,23.770000457763672,34.66999816894531,40.20000076293945,76.72000122070312,165.9499969482422,48.68000030517578,151.4499969482422,28.6933536529541,94.0999984741211,31.679317474365234,49.349998474121094,108.2300033569336,31.440000534057617,26.209999084472656,115.8499984741211,72.4800033569336,60.0572509765625,53.900001525878906,45.56999969482422,158.82000732421875,131.13504028320312,49.2400016784668,114.80000305175781,132.4199981689453,137.41873168945312,169.74000549316406,52.029998779296875,79.05999755859375,80.9800033569336,78.79000091552734,269.3299865722656,129.38999938964844,302.79998779296875,151.27000427246094,37.525001525878906,72.83687591552734,85.47000122070312,1793.47998046875,113.4000015258789,54.36000061035156,202.1300048828125,147.0605926513672,108.73666381835938,110.58999633789062,222.47000122070312,72.41661071777344,12.430000305175781,193.72682189941406,73.79000091552734,64.08000183105469,39.7599983215332,115.83999633789062,73.3499984741211,91.33999633789062,61.33000183105469,177.22000122070312,,115.3499984741211,46.150001525878906,416.3699951171875,65.41000366210938,207.75999450683594,35.834999084472656,58.560001373291016,78.97000122070312,127.0999984741211,76.95999908447266,81.48999786376953,104.58999633789062,159.0399932861328,388.7900085449219,139.8800048828125,58.369998931884766,153.27000427246094,16.28333282470703,157.86000061035156
2017-08-28,40.36750030517578,72.83000183105469,47.30099868774414,46.40650177001953,45.69049835205078,167.24000549316406,23.04400062561035,41.24250030517578,178.6999969482422,91.5999984741211,131.74000549316406,103.77999877929688,92.47000122070312,133.85000610351562,195.08999633789062,102.55999755859375,151.38999938964844,60.529998779296875,23.719999313354492,34.650001525878906,40.34000015258789,76.47000122070312,167.1199951171875,48.61000061035156,151.7899932861328,28.655588150024414,93.66000366210938,31.755218505859375,50.2599983215332,107.76000213623047,31.540000915527344,26.010000228881836,115.54000091552734,73.31999969482422,60.41984558105469,53.72999954223633,45.41999816894531,159.6699981689453,131.18295288085938,49.2400016784668,115.54000091552734,132.0800018310547,136.24282836914062,171.77999877929688,51.810001373291016,79.58999633789062,80.76000213623047,78.83999633789062,267.8999938964844,129.24000549316406,303.6099853515625,151.99000549316406,37.720001220703125,73.0230484008789,85.41000366210938,1789.9100341796875,113.79000091552734,54.400001525878906,202.4600067138672,146.94049072265625,109.55555725097656,111.91000366210938,220.35000610351562,72.58023834228516,12.229999542236328,194.19512939453125,74.69000244140625,63.93000030517578,39.540000915527344,115.95999908447266,73.80000305175781,91.79000091552734,61.540000915527344,178.42999267578125,,115.06999969482422,46.13999938964844,414.3399963378906,65.30000305175781,208.83999633789062,35.900001525878906,58.400001525878906,79.44000244140625,126.93000030517578,77.44000244140625,80.55000305175781,104.76000213623047,156.8300018310547,389.2300109863281,139.57000732421875,58.58000183105469,153.39999389648438,16.5,160.6699981689453
2017-08-29,40.727500915527344,73.05000305175781,47.702999114990234,46.787498474121094,46.06449890136719,168.0500030517578,23.157333374023438,41.17499923706055,178.6199951171875,91.0999984741211,132.2100067138672,103.7699966430664,92.31999969482422,133.83999633789062,196.72999572753906,102.56999969482422,149.83999633789062,61.0099983215332,23.579999923706055,34.72999954223633,40.15999984741211,76.44999694824219,168.80999755859375,48.5099983215332,152.13999938964844,28.58761215209961,93.83000183105469,31.783681869506836,50.150001525878906,107.86000061035156,31.479999542236328,26.25666618347168,115.83999633789062,73.88999938964844,60.229007720947266,52.72999954223633,45.45000076293945,159.3800048828125,131.911376953125,49.45000076293945,116.55000305175781,130.8800048828125,136.84512329101562,172.22999572753906,51.810001373291016,79.72000122070312,81.02999877929688,78.55000305175781,270.7200012207031,129.66000366210938,308.1400146484375,150.9199981689453,37.68000030517578,72.68617248535156,85.41999816894531,1807.06005859375,114.88999938964844,54.099998474121094,202.9199981689453,146.76034545898438,109.71111297607422,111.75,219.9600067138672,74.7010726928711,12.149999618530273,194.0487823486328,75.73999786376953,63.810001373291016,39.18000030517578,115.88999938964844,73.44999694824219,91.94000244140625,61.5,180.52000427246094,,116.01000213623047,46.06999969482422,414.1300048828125,64.81999969482422,211.3000030517578,35.744998931884766,58.349998474121094,79.55000305175781,126.37999725341797,77.0,79.73999786376953,105.12000274658203,156.25,388.82000732421875,139.41000366210938,58.86000061035156,152.88999938964844,16.593332290649414,162.32000732421875
2017-08-30,40.837501525878906,74.01000213623047,48.37950134277344,47.18149948120117,46.47850036621094,169.9199981689453,23.545333862304688,41.41999816894531,180.35000610351562,91.30999755859375,131.07000732421875,103.7300033569336,91.87000274658203,133.8000030517578,195.8800048828125,102.87000274658203,150.0,61.77000045776367,23.8700008392334,34.88999938964844,40.81999969482422,76.0999984741211,174.69000244140625,48.119998931884766,153.6699981689453,28.451662063598633,94.86000061035156,31.736242294311523,50.11000061035156,107.7300033569336,31.989999771118164,26.18000030517578,115.1500015258789,73.91999816894531,60.229007720947266,52.560001373291016,45.38999938964844,159.52999877929688,132.30433654785156,49.79999923706055,116.43000030517578,130.63999938964844,136.29063415527344,173.64999389648438,52.119998931884766,79.86000061035156,82.30999755859375,80.48999786376953,271.010009765625,129.7899932861328,306.29998779296875,153.5399932861328,37.654998779296875,72.81914520263672,85.69000244140625,1813.0,114.97000122070312,54.52000045776367,203.69000244140625,145.799560546875,110.67111206054688,114.2699966430664,222.4199981689453,75.26746368408203,12.670000076293945,193.0731658935547,81.2300033569336,64.05000305175781,39.56999969482422,115.48999786376953,73.91000366210938,92.38999938964844,61.939998626708984,182.9499969482422,,117.55000305175781,46.29999923706055,416.20001220703125,64.83000183105469,213.77999877929688,36.025001525878906,58.630001068115234,83.72000122070312,126.05999755859375,77.41000366210938,80.08999633789062,105.93000030517578,157.02000427246094,393.3699951171875,139.3300018310547,59.380001068115234,156.2899932861328,16.803333282470703,164.99000549316406
2017-08-31,41.0,74.7699966430664,49.029998779296875,47.762001037597656,46.96649932861328,171.97000122070312,23.726667404174805,42.36000061035156,181.16000366210938,90.88999938964844,132.3699951171875,103.5199966430664,92.2699966430664,133.3000030517578,198.89999389648438,101.19999694824219,149.8699951171875,61.68000030517578,23.889999389648438,35.06999969482422,40.61000061035156,76.33000183105469,174.7100067138672,47.970001220703125,155.16000366210938,28.29305076599121,95.48999786376953,32.18216323852539,50.939998626708984,107.62000274658203,32.209999084472656,26.023332595825195,115.7300033569336,75.30000305175781,60.935115814208984,52.810001373291016,45.54999923706055,159.97000122070312,132.5247802734375,50.33000183105469,116.93000030517578,131.5399932861328,136.73995971679688,177.77000427246094,52.27000045776367,80.62000274658203,82.81999969482422,81.29000091552734,272.2099914550781,130.75999450683594,305.3900146484375,154.3300018310547,37.627498626708984,73.95390319824219,86.0999984741211,1852.0799560546875,114.36000061035156,54.86000061035156,204.32000732421875,147.42088317871094,111.62999725341797,116.19000244140625,223.74000549316406,75.34297943115234,13.0,194.5756072998047,83.70999908447266,63.400001525878906,39.900001525878906,115.93000030517578,73.88999938964844,92.91999816894531,62.70000076293945,187.13999938964844,,117.48999786376953,46.09000015258789,419.010009765625,64.66999816894531,214.3800048828125,36.150001525878906,59.040000915527344,83.66999816894531,125.80000305175781,78.08000183105469,79.61000061035156,106.47000122070312,156.85000610351562,398.5400085449219,141.3699951171875,60.47999954223633,160.5399932861328,16.733333587646484,165.97999572753906
2017-09-01,41.01250076293945,73.94000244140625,48.912498474121094,47.5994987487793,46.867000579833984,172.02000427246094,23.69333267211914,42.6150016784668,180.72999572753906,91.69999694824219,131.02999877929688,103.9000015258789,92.52999877929688,133.24000549316406,199.75,101.5,150.77999877929688,61.459999084472656,24.09000015258789,35.09000015258789,41.060001373291016,76.56999969482422,174.74000549316406,47.91999816894531,155.05999755859375,28.308156967163086,96.01000213623047,32.220115661621094,51.18000030517578,108.76000213623047,32.29999923706055,26.123332977294922,115.83999633789062,75.41999816894531,60.906490325927734,53.36000061035156,45.779998779296875,159.80999755859375,131.911376953125,50.619998931884766,117.83000183105469,131.02999877929688,137.74378967285156,178.7100067138672,52.04999923706055,80.05000305175781,82.54000091552734,80.08000183105469,268.8299865722656,130.10000610351562,302.19000244140625,153.72000122070312,37.540000915527344,73.78546142578125,86.13999938964844,1850.8199462890625,114.38999938964844,54.93000030517578,203.55999755859375,150.9637908935547,111.86111450195312,115.48999786376953,225.8800048828125,74.21019744873047,13.1899995803833,194.2926788330078,83.75,63.540000915527344,40.15999984741211,116.13999938964844,74.6500015258789,92.33999633789062,62.869998931884766,186.0,,118.27999877929688,46.290000915527344,421.7799987792969,65.0999984741211,215.0500030517578,36.189998626708984,58.810001373291016,84.37999725341797,126.25,77.87000274658203,80.30999755859375,107.3499984741211,158.19000244140625,392.4800109863281,141.08999633789062,59.900001525878906,162.24000549316406,16.593332290649414,166.86000061035156
2017-09-05,40.52000045776367,73.61000061035156,48.26350021362305,47.07400131225586,46.42250061035156,170.72000122070312,23.305999755859375,41.477500915527344,176.97999572753906,89.51000213623047,129.89999389648438,103.01000213623047,92.72000122070312,132.66000366210938,199.30999755859375,101.5999984741211,152.92999267578125,61.27000045776367,23.309999465942383,35.02000045776367,40.66999816894531,77.18000030517578,174.52000427246094,47.36000061035156,154.27999877929688,28.013595581054688,96.18000030517578,32.06830978393555,51.029998779296875,109.44000244140625,31.6200008392334,26.600000381469727,115.87000274658203,75.25,60.70610809326172,53.0099983215332,45.91999816894531,159.10000610351562,130.83792114257812,50.93000030517578,117.66999816894531,130.3000030517578,136.74952697753906,176.74000549316406,50.029998779296875,79.81999969482422,81.8499984741211,79.81999969482422,268.07000732421875,129.77000427246094,302.20001220703125,153.17999267578125,37.564998626708984,73.63475036621094,85.30999755859375,1842.8900146484375,113.91999816894531,55.130001068115234,200.97999572753906,148.6218719482422,113.49333190917969,116.1500015258789,217.77999877929688,69.98741149902344,12.920000076293945,195.19024658203125,82.55999755859375,62.869998931884766,38.77000045776367,115.52999877929688,75.68000030517578,92.20999908447266,63.16999816894531,186.02000427246094,,118.30000305175781,45.380001068115234,413.6499938964844,64.94999694824219,213.25999450683594,36.16999816894531,58.65999984741211,83.0,125.45999908447266,78.08999633789062,78.66000366210938,106.43000030517578,156.8800048828125,393.32000732421875,141.61000061035156,59.810001373291016,159.07000732421875,16.329999923706055,164.10000610351562
2017-09-06,40.477500915527344,73.4000015258789,48.38999938964844,47.10100173950195,46.390499114990234,172.08999633789062,22.968666076660156,41.45249938964844,176.7899932861328,90.11000061035156,130.6699981689453,103.18000030517578,92.72000122070312,132.88999938964844,198.3800048828125,101.5,156.55999755859375,61.2400016784668,23.40999984741211,35.7599983215332,41.16999816894531,78.77999877929688,179.25,46.90999984741211,153.75999450683594,27.620845794677734,95.81999969482422,32.24857711791992,51.189998626708984,111.79000091552734,31.8700008392334,26.69333267211914,116.3499984741211,77.05000305175781,61.068702697753906,52.7599983215332,45.959999084472656,158.22000122070312,130.87625122070312,51.0099983215332,118.62000274658203,131.77000427246094,137.49522399902344,178.3800048828125,50.45000076293945,79.87000274658203,82.06999969482422,80.51000213623047,265.2699890136719,131.1199951171875,301.45001220703125,151.1999969482422,37.0625,74.4858169555664,85.2300033569336,1842.449951171875,113.80999755859375,54.310001373291016,202.0500030517578,149.6427001953125,113.59666442871094,114.68000030517578,218.8300018310547,68.9804916381836,12.859999656677246,194.3707275390625,82.94999694824219,63.27000045776367,38.93000030517578,116.22000122070312,77.47000122070312,92.47000122070312,63.38999938964844,189.41000366210938,,116.9800033569336,45.06999969482422,412.19000244140625,65.7699966430664,211.91000366210938,36.51499938964844,59.90999984741211,82.51000213623047,128.4199981689453,78.97000122070312,79.47000122070312,108.05000305175781,158.72999572753906,402.5,141.1199951171875,59.869998931884766,157.0800018310547,16.73666763305664,165.00999450683594
2017-09-07,40.314998626708984,74.33999633789062,48.9734992980957,47.49449920654297,46.79750061035156,173.2100067138672,23.374000549316406,41.64500045776367,173.99000549316406,88.52999877929688,132.19000244140625,104.55999755859375,92.97000122070312,136.52999877929688,198.1699981689453,97.05999755859375,157.92999267578125,62.0,22.969999313354492,35.540000915527344,38.599998474121094,79.02999877929688,179.0,46.20000076293945,155.47000122070312,26.88821792602539,96.7300033569336,32.24857711791992,51.4900016784668,111.80000305175781,31.760000228881836,26.706666946411133,116.98999786376953,81.77999877929688,61.374046325683594,52.38999938964844,46.279998779296875,159.89999389648438,131.3842315673828,51.72999954223633,118.91999816894531,132.24000549316406,136.6156768798828,180.7100067138672,50.380001068115234,79.94999694824219,82.0,81.54000091552734,265.8699951171875,134.24000549316406,302.3500061035156,151.39999389648438,37.372501373291016,75.4432601928711,84.41000366210938,1845.3699951171875,114.66999816894531,53.470001220703125,204.4600067138672,144.23828125,115.163330078125,117.77999877929688,215.83999633789062,69.21334075927734,12.630000114440918,194.7024383544922,85.47000122070312,62.72999954223633,38.11000061035156,116.33000183105469,77.68000030517578,92.52999877929688,64.8499984741211,190.58999633789062,,117.7699966430664,43.65999984741211,414.25,64.30000305175781,213.66000366210938,36.459999084472656,60.209999084472656,81.0999984741211,125.73999786376953,78.83999633789062,78.2300033569336,108.91999816894531,160.8000030517578,395.6400146484375,142.22000122070312,62.84000015258789,159.41000366210938,17.156667709350586,168.58999633789062
2017-09-08,39.657501220703125,73.9800033569336,48.29499816894531,47.070499420166016,46.32500076293945,170.9499969482422,22.893333435058594,40.92250061035156,175.5,88.41999816894531,130.97999572753906,104.43000030517578,92.83999633789062,137.22000122070312,197.75,97.06999969482422,159.66000366210938,61.130001068115234,22.889999389648438,35.189998626708984,38.209999084472656,78.81999969482422,176.4199981689453,46.11000061035156,155.33999633789062,26.880664825439453,96.43000030517578,32.35293960571289,52.02000045776367,110.77999877929688,31.479999542236328,26.293333053588867,115.04000091552734,85.33999633789062,61.32633590698242,52.20000076293945,46.29999923706055,159.7100067138672,131.85386657714844,51.58000183105469,117.05999755859375,132.4600067138672,136.1854705810547,180.63999938964844,49.63999938964844,82.02999877929688,81.37999725341797,82.91999816894531,267.45001220703125,133.72000122070312,302.8999938964844,151.92999267578125,37.064998626708984,76.9148941040039,84.25,1838.5699462890625,115.05000305175781,53.4900016784668,205.69000244140625,143.03729248046875,115.84333038330078,116.4000015258789,217.2100067138672,68.94273376464844,12.25,198.73170471191406,85.0999984741211,62.22999954223633,38.68000030517578,117.30000305175781,78.55999755859375,92.30000305175781,64.69999694824219,191.6300048828125,,117.81999969482422,43.970001220703125,415.95001220703125,65.33999633789062,210.47999572753906,36.19499969482422,60.400001525878906,80.44000244140625,128.0399932861328,81.94999694824219,78.20999908447266,108.41000366210938,159.55999755859375,392.8999938964844,142.5,62.619998931884766,158.8300018310547,17.046667098999023,165.75
2017-09-11,40.375,74.76000213623047,48.89799880981445,47.16450119018555,46.45399856567383,173.50999450683594,24.246000289916992,42.25,177.8699951171875,89.79000091552734,133.2100067138672,106.1500015258789,93.98999786376953,141.99000549316406,199.5800018310547,97.08999633789062,158.3699951171875,62.63999938964844,23.360000610351562,35.77000045776367,37.83000183105469,79.25,181.74000549316406,46.29999923706055,156.8699951171875,26.99395751953125,97.70999908447266,32.561668395996094,52.45000076293945,112.5199966430664,32.189998626708984,26.360000610351562,115.69000244140625,87.0,62.14694595336914,53.029998779296875,46.52000045776367,161.52999877929688,133.22445678710938,52.4900016784668,117.93000030517578,135.00999450683594,138.48948669433594,186.49000549316406,50.56999969482422,81.55999755859375,82.22000122070312,82.62999725341797,269.29998779296875,136.22999572753906,304.4800109863281,152.77000427246094,37.849998474121094,77.18971252441406,85.69000244140625,1868.8599853515625,116.19999694824219,54.02000045776367,209.55999755859375,142.43679809570312,116.16444396972656,117.66999816894531,221.05999755859375,68.99937438964844,12.550000190734863,198.89756774902344,84.5199966430664,62.4900016784668,39.310001373291016,117.93000030517578,77.5,93.38999938964844,65.27999877929688,193.57000732421875,,118.87000274658203,44.68000030517578,424.0400085449219,65.70999908447266,212.39999389648438,36.41999816894531,60.90999984741211,82.22000122070312,128.8000030517578,81.19999694824219,79.05999755859375,107.5,160.32000732421875,381.010009765625,143.69000244140625,62.720001220703125,157.80999755859375,17.356666564941406,169.9600067138672
2017-09-12,40.21500015258789,74.68000030517578,49.12900161743164,47.33250045776367,46.60350036621094,172.9600067138672,24.183332443237305,42.40250015258789,178.6300048828125,90.88999938964844,132.6300048828125,106.20999908447266,93.51000213623047,142.4199981689453,197.47000122070312,97.88999938964844,159.91000366210938,62.560001373291016,23.950000762939453,36.09000015258789,37.900001525878906,79.5,185.14999389648438,46.790000915527344,156.30999755859375,27.386707305908203,96.8499984741211,33.55787658691406,52.25,112.48999786376953,32.40999984741211,26.536666870117188,115.0,87.75,62.461830139160156,53.400001525878906,46.720001220703125,156.3300018310547,132.91775512695312,52.77000045776367,117.05000305175781,134.82000732421875,139.3498992919922,191.0,50.900001525878906,82.30000305175781,82.88999938964844,82.16999816894531,268.9599914550781,136.22000122070312,303.7300109863281,153.60000610351562,37.282501220703125,77.36701965332031,86.55000305175781,1868.6400146484375,117.1500015258789,53.540000915527344,209.63999938964844,143.57772827148438,116.11111450195312,116.26000213623047,225.9499969482422,69.13782501220703,12.300000190734863,197.26829528808594,84.51000213623047,62.5,39.84000015258789,117.26000213623047,78.66000366210938,93.33000183105469,65.4000015258789,194.0399932861328,,120.94000244140625,44.790000915527344,428.57000732421875,66.37999725341797,215.5399932861328,36.77000045776367,61.2599983215332,82.1500015258789,130.05999755859375,81.76000213623047,79.56999969482422,107.91999816894531,157.5500030517578,381.57000732421875,143.52999877929688,63.02000045776367,156.82000732421875,17.30666732788086,171.6699981689453
2017-09-13,39.912498474121094,75.20999908447266,49.97999954223633,47.52199935913086,46.75450134277344,173.0500030517578,24.415332794189453,42.592498779296875,178.9199981689453,91.1500015258789,132.4499969482422,105.83000183105469,93.55000305175781,140.10000610351562,198.3300018310547,98.81999969482422,160.02000427246094,62.040000915527344,24.329999923706055,36.33000183105469,37.959999084472656,79.7699966430664,183.63999938964844,47.25,156.24000549316406,27.60573959350586,95.61000061035156,33.263755798339844,52.0,114.18000030517578,32.18000030517578,26.6200008392334,114.44999694824219,88.47000122070312,62.45228958129883,53.52000045776367,46.869998931884766,157.0,132.170166015625,52.79999923706055,116.86000061035156,134.14999389648438,139.56979370117188,189.6999969482422,51.0099983215332,81.93000030517578,82.69999694824219,82.43000030517578,266.70001220703125,134.77999877929688,300.20001220703125,153.4600067138672,37.04499816894531,77.34042358398438,86.63999938964844,1871.1700439453125,117.05999755859375,54.290000915527344,209.49000549316406,144.77871704101562,115.87555694580078,116.05000305175781,226.55999755859375,69.40213775634766,12.220000267028809,191.8243865966797,83.68000030517578,62.5099983215332,39.79999923706055,117.37000274658203,77.86000061035156,92.41999816894531,65.27999877929688,191.47000122070312,,119.62999725341797,44.709999084472656,425.5199890136719,66.22000122070312,215.0,36.744998931884766,61.29999923706055,82.05999755859375,130.8699951171875,81.75,80.20999908447266,107.19999694824219,160.42999267578125,385.1300048828125,143.02999877929688,62.47999954223633,156.8000030517578,17.356666564941406,171.52000427246094
2017-09-14,39.56999969482422,74.7699966430664,49.61050033569336,47.006500244140625,46.25550079345703,170.9600067138672,25.176000595092773,42.349998474121094,178.57000732421875,90.97000122070312,134.17999267578125,106.08000183105469,93.55000305175781,141.47000122070312,197.72999572753906,97.9000015258789,159.3800048828125,62.2400016784668,24.239999771118164,36.47999954223633,37.599998474121094,80.08999633789062,182.6300048828125,47.18000030517578,154.9499969482422,27.432024002075195,95.30000305175781,33.89942932128906,51.689998626708984,114.44999694824219,32.189998626708984,26.559999465942383,114.19000244140625,89.22000122070312,63.09160232543945,53.72999954223633,46.11000061035156,157.0,131.5088348388672,52.790000915527344,116.7300033569336,134.08999633789062,139.1395721435547,189.44000244140625,51.47999954223633,81.80000305175781,83.29000091552734,83.06999969482422,265.69000244140625,134.86000061035156,301.3399963378906,153.72000122070312,37.38750076293945,78.41312408447266,86.19000244140625,1845.2900390625,117.37999725341797,54.529998779296875,211.42999267578125,145.67945861816406,115.61111450195312,115.95999908447266,226.85000610351562,71.20201110839844,12.260000228881836,192.78048706054688,82.29000091552734,62.279998779296875,39.9900016784668,118.37000274658203,78.45999908447266,92.11000061035156,65.25,191.69000244140625,,120.4800033569336,44.06999969482422,425.69000244140625,66.18000030517578,214.52000427246094,36.60499954223633,61.88999938964844,82.33999633789062,132.1199951171875,81.19999694824219,78.69999694824219,106.79000091552734,163.75,376.0,144.49000549316406,62.689998626708984,153.3800048828125,17.360000610351562,172.5800018310547
2017-09-15,39.970001220703125,75.30999755859375,49.339500427246094,46.76449966430664,46.01449966430664,171.63999938964844,25.320667266845703,45.02750015258789,179.88999938964844,91.62000274658203,134.4499969482422,105.30000305175781,93.2699966430664,141.5800018310547,198.17999267578125,98.5199966430664,158.39999389648438,62.5,24.3799991607666,37.0,36.93000030517578,80.06999969482422,182.35000610351562,47.86000061035156,154.49000549316406,28.021148681640625,94.62999725341797,33.54838562011719,51.7599983215332,114.62999725341797,32.439998626708984,26.793333053588867,114.8499984741211,87.37000274658203,63.1297721862793,53.869998931884766,46.18000030517578,156.9199981689453,133.17652893066406,48.7400016784668,115.79000091552734,134.22000122070312,138.4512481689453,187.47000122070312,52.189998626708984,82.12000274658203,84.83999633789062,82.44000244140625,267.0299987792969,135.35000610351562,302.29998779296875,154.0,37.522499084472656,78.20035552978516,86.98999786376953,1843.199951171875,117.9000015258789,54.66999816894531,213.35000610351562,143.6978302001953,115.336669921875,116.11000061035156,225.22000122070312,71.16425323486328,12.520000457763672,190.5756072998047,82.36000061035156,62.38999938964844,40.209999084472656,119.01000213623047,77.98999786376953,92.01000213623047,65.19999694824219,190.6300048828125,,121.37000274658203,44.13999938964844,428.7200012207031,65.37999725341797,214.8300018310547,36.869998931884766,62.349998474121094,83.83999633789062,131.2899932861328,81.31999969482422,80.04000091552734,106.77999877929688,164.77000427246094,369.4700012207031,143.8800048828125,62.47999954223633,153.61000061035156,17.49333381652832,172.99000549316406
2017-09-18,39.66749954223633,75.16000366210938,48.70949935913086,46.48749923706055,45.75,170.00999450683594,25.666667938232422,46.88750076293945,181.47000122070312,92.91999816894531,135.3800048828125,104.83000183105469,93.1500015258789,141.39999389648438,198.19000244140625,98.0999984741211,157.80999755859375,62.91999816894531,24.700000762939453,37.0,37.11000061035156,80.08999633789062,184.6199951171875,48.09000015258789,155.77000427246094,28.262840270996094,95.73999786376953,33.72865295410156,52.08000183105469,115.19000244140625,32.52000045776367,26.666667938232422,114.98999786376953,85.31999969482422,62.96755599975586,53.5,46.11000061035156,156.67999267578125,131.94972229003906,48.33000183105469,116.08000183105469,134.74000549316406,138.193115234375,186.47000122070312,52.25,82.4000015258789,86.13999938964844,82.5199966430664,275.9700012207031,136.94000244140625,303.79998779296875,154.42999267578125,37.07500076293945,78.11170196533203,87.87000274658203,1854.1800537109375,117.58999633789062,54.689998626708984,213.75999450683594,146.8804473876953,116.25444030761719,116.51000213623047,227.52999877929688,70.96916198730469,13.079999923706055,190.83901977539062,82.97000122070312,62.560001373291016,40.650001525878906,119.88999938964844,77.66999816894531,93.54000091552734,65.19999694824219,191.86000061035156,,123.83000183105469,44.2400016784668,429.44000244140625,65.6500015258789,215.0800018310547,36.709999084472656,62.9900016784668,85.16999816894531,131.3000030517578,81.44999694824219,80.25,106.55000305175781,161.52000427246094,368.1700134277344,144.52999877929688,62.70000076293945,153.1999969482422,17.28333282470703,177.30999755859375
